Family	Mean 0.4-3	Max 0.4-3	Mean 3-200	Max 3-200	Both	Only 0.4-3	Only 3-200	Total
Dino-Group-I-Clade-1	14	39.2	18.6	58.3	32	13	15	60
Dino-Group-I-Clade-2	2.6	10	6	21.2	44	9	29	82
Dino-Group-I-Clade-3	0.2	1.1	0.3	1.4	11	0	12	23
Dino-Group-I-Clade-4	0.7	3.9	3	23.4	21	0	27	48
Dino-Group-I-Clade-5	9.7	66.3	15.8	73.7	100	11	47	158
Dino-Group-I-Clade-6	0	0.1	0	0.2	2	0	4	6
Dino-Group-I-Clade-7	1	13.3	5.3	46.7	6	0	13	19
Dino-Group-I-Clade-8	0	0	0	0.1	1	0	6	7
Dino-Group-I_X	0.1	0.5	0.6	8.5	4	0	3	7
Dino-Group-II-Clade-1	4.3	15	3.1	9	173	100	32	305
Dino-Group-II-Clade-10-and-11	4.9	17.6	4	11.6	122	23	12	157
Dino-Group-II-Clade-12	1	4.5	1	6.8	26	2	17	45
Dino-Group-II-Clade-13	1.6	5	0.6	2.2	12	3	0	15
Dino-Group-II-Clade-14	4.8	49.5	4.1	36.6	36	8	9	53
Dino-Group-II-Clade-15	2.1	13.8	1.9	12.3	56	20	15	91
Dino-Group-II-Clade-16	2.1	6.3	1.4	7.6	16	2	3	21
Dino-Group-II-Clade-17	0.8	2.6	0.2	1.5	8	3	0	11
Dino-Group-II-Clade-18	0.1	0.4	0.1	0.4	3	0	1	4
Dino-Group-II-Clade-19	0.1	0.4	0.1	0.2	2	0	0	2
Dino-Group-II-Clade-20	2.3	9	0.8	7.3	23	7	1	31
Dino-Group-II-Clade-21	2.1	8.7	1.4	7.1	47	13	11	71
Dino-Group-II-Clade-22	2.5	13.7	2.4	14.8	31	8	5	44
Dino-Group-II-Clade-23	0.8	6.3	1.3	7.9	4	1	1	6
Dino-Group-II-Clade-24	0.2	2.8	0.1	0.9	1	0	0	1
Dino-Group-II-Clade-25	0.4	4	0.8	5.4	17	6	8	31
Dino-Group-II-Clade-26	0.4	2.2	0.3	1.1	10	4	3	17
Dino-Group-II-Clade-27	0.9	5	0.5	2.5	7	3	0	10
Dino-Group-II-Clade-28	0.2	0.7	0.2	1.3	2	0	0	2
Dino-Group-II-Clade-29	1	11.5	0.6	6.6	8	2	0	10
Dino-Group-II-Clade-3	0.8	5.6	0.6	4.9	30	20	7	57
Dino-Group-II-Clade-30	1.6	5.6	0.8	4	6	0	3	9
Dino-Group-II-Clade-32	1.4	15.7	2.8	33	3	0	0	3
Dino-Group-II-Clade-33	0.7	6.3	1.2	8.5	3	0	2	5
Dino-Group-II-Clade-35	0.2	1.3	0.1	0.2	2	4	0	6
Dino-Group-II-Clade-36	0.1	1.2	0.2	0.9	2	0	0	2
Dino-Group-II-Clade-38	0	0.2	0.1	0.7	3	2	1	6
Dino-Group-II-Clade-39	0	0	0	0	1	0	0	1
Dino-Group-II-Clade-4	0.4	6.7	1	5.7	26	10	5	41
Dino-Group-II-Clade-40	0.2	0.6	0.3	2.5	5	0	0	5
Dino-Group-II-Clade-42	0.2	1.1	0.1	0.7	4	0	0	4
Dino-Group-II-Clade-44	0.3	0.9	0.1	0.5	13	5	1	19
Dino-Group-II-Clade-46	0.1	0.5	0.1	0.9	4	0	2	6
Dino-Group-II-Clade-47	0.2	0.9	0.5	4.3	12	3	2	17
Dino-Group-II-Clade-5	5.5	33	2.7	15.3	45	23	3	71
Dino-Group-II-Clade-55	0	0.1	0.1	0.3	8	8	4	20
Dino-Group-II-Clade-6	12.7	72.2	7	42	38	9	2	49
Dino-Group-II-Clade-7	15.6	43.2	9.2	38.3	86	30	12	128
Dino-Group-II-Clade-8	0.2	0.8	0.1	0.2	3	0	0	3
Dino-Group-II-Clade-9	0.8	13.7	0.6	3.7	46	16	9	71
Dino-Group-II_X	1.2	3.5	1.4	10.7	90	22	27	139
Dino-Group-III_X	1.7	15	3.1	10.4	50	7	31	88
Dino-Group-IV-Hematodinium-Group	1.5	41	0.7	4.2	21	3	16	40
Dino-Group-IV-Syndinium-Group	0	0	0.2	0.6	2	0	1	3
Dino-Group-V_X	0.6	4.7	0.5	2.5	13	1	1	15
Syndiniales_XX	0.1	0.2	2.7	12.7	2	0	4	6
