interc	pval	asv_id	asv_id_star
NA	0.015	ASV_20_DG-III_X	*ASV_20_DG-III_X
NA	0.005	ASV_6_DG-II-Clade-6	**ASV_6_DG-II-Clade-6
NA	0.049	ASV_9_DG-II-Clade-7	*ASV_9_DG-II-Clade-7
NA	0.022	ASV_35_DG-I-Clade-2	*ASV_35_DG-I-Clade-2
NA	0.012	ASV_10_DG-I-Clade-7	*ASV_10_DG-I-Clade-7
NA	0.036	ASV_14_DG-II-Clade-14	*ASV_14_DG-II-Clade-14
NA	0.007	ASV_53_DG-II-Clade-23	**ASV_53_DG-II-Clade-23
NA	0.032	ASV_91_DG-I-Clade-2	*ASV_91_DG-I-Clade-2
NA	0.026	ASV_32_DG-I-Clade-5	*ASV_32_DG-I-Clade-5
NA	0.005	ASV_50_DG-I-Clade-5	**ASV_50_DG-I-Clade-5
NA	0.049	ASV_42_DG-II-Clade-6	*ASV_42_DG-II-Clade-6
NA	0.045	ASV_60_DG-II-Clade-5	*ASV_60_DG-II-Clade-5
NA	0.033	ASV_56_DG-I-Clade-5	*ASV_56_DG-I-Clade-5
NA	0.012	ASV_86_DG-II-Clade-9	*ASV_86_DG-II-Clade-9
NA	0.043	ASV_65_DG-I-Clade-2	*ASV_65_DG-I-Clade-2
NA	0.006	ASV_90_DG-II-Clade-16	**ASV_90_DG-II-Clade-16
NA	0.013	ASV_151_DG-I-Clade-5	*ASV_151_DG-I-Clade-5
NA	0.018	ASV_164_DG-II-Clade-26	*ASV_164_DG-II-Clade-26
NA	0.037	ASV_96_DG-II-Clade-14	*ASV_96_DG-II-Clade-14
NA	0.015	ASV_66_DG-II-Clade-30	*ASV_66_DG-II-Clade-30
NA	0.012	ASV_176_DG-I-Clade-5	*ASV_176_DG-I-Clade-5
NA	0.007	ASV_382_DG-III_X	**ASV_382_DG-III_X
NA	0.049	ASV_120_DG-II-Clade-22	*ASV_120_DG-II-Clade-22
NA	0.033	ASV_131_DG-II-Clade-10-and-11	*ASV_131_DG-II-Clade-10-and-11
NA	0.032	ASV_15_DG-II-Clade-1	*ASV_15_DG-II-Clade-1
NA	0.006	ASV_38_DG-II-Clade-23	**ASV_38_DG-II-Clade-23
NA	0.007	ASV_57_DG-II-Clade-3	**ASV_57_DG-II-Clade-3
NA	0.041	ASV_68_DG-II-Clade-7	*ASV_68_DG-II-Clade-7
NA	0.014	ASV_146_DG-II-Clade-13	*ASV_146_DG-II-Clade-13
NA	0.031	ASV_67_DG-II-Clade-27	*ASV_67_DG-II-Clade-27
NA	0.007	ASV_136_DG-II-Clade-1	**ASV_136_DG-II-Clade-1
NA	0.032	ASV_25_DG-I-Clade-1	*ASV_25_DG-I-Clade-1
NA	0.025	ASV_111_DG-II-Clade-17	*ASV_111_DG-II-Clade-17
NA	0.031	ASV_182_DG-II-Clade-1	*ASV_182_DG-II-Clade-1
NA	0.014	ASV_17_DG-II-Clade-14	*ASV_17_DG-II-Clade-14
NA	0.05	ASV_254_DG-I-Clade-5	*ASV_254_DG-I-Clade-5
NA	0.034	ASV_162_DG-II-Clade-26	*ASV_162_DG-II-Clade-26
NA	0.014	ASV_133_DG-II-Clade-22	*ASV_133_DG-II-Clade-22
NA	0.037	ASV_132_DG-II-Clade-16	*ASV_132_DG-II-Clade-16
NA	0.033	ASV_26_DG-II-Clade-24	*ASV_26_DG-II-Clade-24
NA	0.03	ASV_177_DG-I-Clade-2	*ASV_177_DG-I-Clade-2
