order	family
Dino-Group-I	Dino-Group-I-Clade-1
Dino-Group-I	Dino-Group-I-Clade-2
Dino-Group-I	Dino-Group-I-Clade-3
Dino-Group-I	Dino-Group-I-Clade-4
Dino-Group-I	Dino-Group-I-Clade-5
Dino-Group-I	Dino-Group-I-Clade-6
Dino-Group-I	Dino-Group-I-Clade-7
Dino-Group-I	Dino-Group-I-Clade-8
Dino-Group-I	Dino-Group-I_X
Dino-Group-II	Dino-Group-II-Clade-1
Dino-Group-II	Dino-Group-II-Clade-10-and-11
Dino-Group-II	Dino-Group-II-Clade-12
Dino-Group-II	Dino-Group-II-Clade-13
Dino-Group-II	Dino-Group-II-Clade-14
Dino-Group-II	Dino-Group-II-Clade-15
Dino-Group-II	Dino-Group-II-Clade-16
Dino-Group-II	Dino-Group-II-Clade-17
Dino-Group-II	Dino-Group-II-Clade-18
Dino-Group-II	Dino-Group-II-Clade-19
Dino-Group-II	Dino-Group-II-Clade-20
Dino-Group-II	Dino-Group-II-Clade-21
Dino-Group-II	Dino-Group-II-Clade-22
Dino-Group-II	Dino-Group-II-Clade-23
Dino-Group-II	Dino-Group-II-Clade-24
Dino-Group-II	Dino-Group-II-Clade-25
Dino-Group-II	Dino-Group-II-Clade-26
Dino-Group-II	Dino-Group-II-Clade-27
Dino-Group-II	Dino-Group-II-Clade-28
Dino-Group-II	Dino-Group-II-Clade-29
Dino-Group-II	Dino-Group-II-Clade-3
Dino-Group-II	Dino-Group-II-Clade-30
Dino-Group-II	Dino-Group-II-Clade-32
Dino-Group-II	Dino-Group-II-Clade-33
Dino-Group-II	Dino-Group-II-Clade-35
Dino-Group-II	Dino-Group-II-Clade-36
Dino-Group-II	Dino-Group-II-Clade-38
Dino-Group-II	Dino-Group-II-Clade-39
Dino-Group-II	Dino-Group-II-Clade-4
Dino-Group-II	Dino-Group-II-Clade-40
Dino-Group-II	Dino-Group-II-Clade-42
Dino-Group-II	Dino-Group-II-Clade-44
Dino-Group-II	Dino-Group-II-Clade-46
Dino-Group-II	Dino-Group-II-Clade-47
Dino-Group-II	Dino-Group-II-Clade-5
Dino-Group-II	Dino-Group-II-Clade-55
Dino-Group-II	Dino-Group-II-Clade-6
Dino-Group-II	Dino-Group-II-Clade-7
Dino-Group-II	Dino-Group-II-Clade-8
Dino-Group-II	Dino-Group-II-Clade-9
Dino-Group-II	Dino-Group-II_X
Dino-Group-III	Dino-Group-III_X
Dino-Group-IV-Hematodinium-Group	Dino-Group-IV-Hematodinium-Group
Dino-Group-IV-Syndinium-Group	Dino-Group-IV-Syndinium-Group
Dino-Group-V	Dino-Group-V_X
Syndiniales_X	Syndiniales_XX
