OTU	Aug_P05_0001	Aug_P05_0020	Aug_P05_0213	Aug_P06_0001	Aug_P06_0024	Aug_P06_0500	Aug_P06_1000	Aug_P07_0001	Aug_P07_0025	Aug_P07_0500	Aug_P07_1000	Jan_B08_0001	Jan_B08_0020	Jan_B08_0500	Jan_B08_1000	Jan_B16_0001	Jan_B16_0020	Jan_B16_0500	Jan_B16_1000	Mar_M02_0001	Mar_M02_0320	Mar_M02_1000	Mar_M03_0001	Mar_M03_0020	Mar_M04_0001	Mar_M04_0020	Mar_M05_0020	Mar_M05_0120	Mar_M06_0020	May_P01_0001	May_P01_0020	May_P01_0417	May_P03_0001	May_P03_0015	May_P03_0447	May_P04_0001	May_P04_0015	May_P04_0500	May_P04_1000	Nov_N02_0020	Nov_N03_0020	Nov_N03_0300	Nov_N04_0020	Nov_N04_1000
ASV_5_DG-I-Clade-1	11.172134567235412	8.997761141886759	9.112872689868592	10.112901064672656	8.566442081898252	8.429788599559252	8.794343107315916	11.233663235143133	7.8954811150559925	7.902963502737331	8.28535208774346	7.869702366693142	8.622370509819648	7.598120883001716	5.851677267357724	8.541400099365564	8.617358518954443	-0.44428268432921314	-0.6287199419630252	8.319947030075237	5.669312623491757	-0.7258612872079269	8.647859790920663	8.02960995519706	8.671837145621332	8.97685993320991	9.09570795395017	8.992520172847897	6.570394983039912	10.037784815160235	10.378509464560207	10.432870815620088	9.373596277430405	9.73650868601194	9.797650949269892	10.0428942983487	9.330077098900237	9.861799867397835	8.691843843039871	9.43991533237534	9.465772658174185	11.102411881352708	8.848585965863347	4.8919717415839115
ASV_4_DG-I-Clade-1	9.05527226236278	8.551824273642287	9.469135285633087	7.720437350126677	7.431048281232026	7.695651102683349	9.438159452098727	9.419200131489447	8.097666424924512	8.706937154676126	8.914414839240516	7.459835729069992	8.080140234302537	7.6145307475573984	6.377870990229874	8.17625594033737	8.09355141082503	4.551315132088238	6.604947498345192	8.470821230392415	6.65662644974657	6.637628750489011	9.387934174877126	8.760236714911823	8.936369636461125	8.623190517964462	8.701755461805357	7.96508817199528	8.082714899312885	8.26829974197408	8.5670508723652965	6.642169460992717	8.402766928248111	7.502850184561115	7.4950390285482476	8.421312148750296	8.066224227284192	7.158609601223964	6.861750327749657	9.395341607170087	10.06161583766338	9.009057615099373	9.707863571870863	8.190265699882861
ASV_12_DG-II-Clade-6	-0.4007939910771796	6.770792638614441	5.658770491143649	-0.3420717412893577	4.163613370369008	8.508592556991175	6.78981876073641	6.55801125390844	-0.2796439566300144	7.301520257153832	9.191543862063888	5.962508037891224	5.980201097086773	7.224160160648557	9.95985356570747	6.1952969749337425	6.501579128106135	9.56700144896295	9.535255615398027	7.673637371290396	6.939665299530571	9.622355311020373	6.498384115210634	7.623902068172416	6.8234814003229	7.498165768478017	7.765726111717113	6.264678629755415	5.767750384817956	5.847300234616204	7.626433272635329	10.074354868783834	7.358129572520278	7.012732879669088	10.642126282502534	4.676184890047875	6.0942574271881735	8.878011428906508	9.295475843898696	4.891598228439945	-0.6214945391896247	6.132585002441877	6.324392829111098	10.049010877690785
ASV_3_DG-I-Clade-5	5.8535974535033395	6.442708313249008	7.811774093641657	7.33112263644438	8.655293144986265	7.926941244277719	-0.18544069055993617	7.20808561301034	6.138973826942054	7.766729005006814	7.3172263160350415	5.360423400229602	5.708868491567366	5.4440518911628715	3.767851028551018	7.457053538727972	7.05487335642878	-0.44428268432921314	-0.6287199419630252	7.624641443843475	2.817741023537076	-0.7258612872079269	8.241178927903494	7.349122660909852	8.251312316391628	7.272392497464536	7.419702233602831	6.315329702198773	3.97722956702604	11.824771845236013	11.212389413604242	7.049778443813814	11.371331626656945	11.448554299408762	8.351589072508961	11.006387068885404	12.188879062335017	6.649668918508351	8.311021946951387	8.931900268697598	5.128458741549356	5.83594840395468	6.871832933105469	-0.4966613437759566
ASV_39_DG-II-Clade-14	6.363653983496179	6.35285298853547	5.830324227759878	-0.3420717412893577	5.88991035031024	7.346371239512208	5.943766422791523	7.068407667994079	7.9293732809796476	6.370600605554229	7.61178425926615	4.9363620524759355	5.5283289422037445	5.646268854514413	7.358889041265395	8.126592187027919	9.704971097236868	-0.44428268432921314	3.8127139472184606	7.461359610453407	3.824104751021485	-0.7258612872079269	7.212593312448845	7.053994341199543	7.594168780858219	7.5734084123897505	7.959581837910567	5.175713892342337	4.8495061105929125	8.111223261534754	8.916266284283676	7.938908531574647	8.98051194581787	8.666216672677495	8.441873630066786	8.49920668657314	6.964824126275678	7.54950951791424	6.7020238300770005	6.449243563663393	7.4395352388529	6.356612792028653	7.009651495262639	-0.4966613437759566
ASV_9_DG-II-Clade-7	-0.4007939910771796	7.152919973473389	7.874939644290881	-0.3420717412893577	-0.43738864667247235	9.116768528504158	-0.18544069055993617	-0.2794776044362095	-0.2796439566300144	9.22096663122121	8.402282459099082	8.684654658150592	8.4883916520839	9.007922468175746	9.558640467690635	7.014950183281548	7.012074149288357	9.838466330446545	10.100295588711663	9.235253296866222	10.247334108779	9.976884433758698	5.761733459838399	7.0431400891489275	6.9897164429749	7.980453906247131	8.562350367735503	10.284756298772114	8.14314135769957	4.934344608250009	-0.2943680510325919	9.276727342492498	-0.24889822353026503	7.70239253813095	9.864757857706483	-0.1860800704447918	-0.28412228719097854	9.17453497771934	10.205843892369703	5.465939118171083	3.8836216042502336	4.77718019737021	8.597760172276843	8.539679294590847
ASV_44_DG-II-Clade-1	4.7588217860643764	6.941126754761578	8.710391212669341	-0.3420717412893577	-0.43738864667247235	7.529285906447732	8.339679452764935	7.568929245386045	7.0934811317144755	7.191530564758301	6.174403283049693	5.4220192223016745	5.562831633048934	6.395388839024775	5.729042859173166	7.436961169515593	7.330392602386804	-0.44428268432921314	4.214244981472081	7.531407762964526	2.7457879725523533	3.739836934225684	-0.5490056394309928	6.414756337404554	6.31303061739216	7.272392497464536	7.599906671522057	6.284464580019694	4.981711864517013	8.167677163831279	8.755870214553667	8.35790346367366	7.4708720576134615	7.724364487796142	8.97153770545151	8.693912732124243	6.347791829790282	7.837412689373667	6.988665925018993	6.789289137017153	7.850527776445596	7.781596802209548	5.616802302322918	-0.4966613437759566
ASV_1_DG-I-Clade-1	8.064857144031958	5.599371275841237	9.294526706701852	9.746825278396733	7.838479545091662	5.843547287816488	10.236630765681301	8.657130207933907	8.139042315592484	6.6331020322127365	6.4269079428519795	3.1581032704667837	3.8125516940378663	4.445485514728666	-0.9785645623638448	5.375674453907199	5.49401820656923	-0.44428268432921314	-0.6287199419630252	5.208473541471925	-0.7562331015364432	-0.7258612872079269	9.195426145724188	5.849715206044445	8.811522353359555	5.221945125535036	-0.543915928171943	4.904569573520936	3.9571383556787447	9.904862262987212	9.49473708339326	5.587947621187674	9.76502569091885	8.621660407147603	6.403720749617426	10.563597206071009	9.690986551461858	5.63148664394118	5.123176698997102	6.315910782401394	8.930733622641863	6.53206645489003	6.192032370280591	6.672140932278962
ASV_6_DG-II-Clade-6	-0.4007939910771796	7.132371906401641	-0.618945916113617	-0.3420717412893577	-0.43738864667247235	9.047793010743742	-0.18544069055993617	-0.2794776044362095	-0.2796439566300144	7.751032460954059	9.812770477557635	8.877208364926192	8.98547449113306	8.510030885846843	10.4087110603864	8.179480779879885	8.514376003923914	11.984651647029136	9.875088365036675	9.702156047397677	10.690155091738848	9.792562842301393	8.0161708431011	8.449711616725253	8.271649285089765	8.985422144822827	9.590209798453408	10.401309241454236	7.334397869243014	-0.25974782082816006	-0.2943680510325919	8.702565661541154	-0.24889822353026503	-0.344724052742615	9.5737683701573	-0.1860800704447918	-0.28412228719097854	8.975685483877111	10.037687066617863	5.809895154289544	-0.6214945391896247	-0.629355420500854	7.145739558593423	10.892095032947761
ASV_29_DG-II-Clade-7	-0.4007939910771796	7.019206451758525	8.832415895025898	-0.3420717412893577	-0.43738864667247235	8.592811581265053	-0.18544069055993617	6.270686715519616	-0.2796439566300144	9.927210050649837	6.674829780534931	7.453901920278839	7.466419871910746	8.085189044434019	7.018803218844041	9.063044106326947	9.252340518907442	-0.44428268432921314	5.5412293045010825	9.034441415089464	4.6655274249718	4.88864485730902	8.35936737944728	8.841419930264458	8.715828698244454	9.15553034710556	9.410989835538679	8.225730928813384	6.923818347756247	5.115740862021706	-0.2943680510325919	5.96366421824161	4.547527753288268	6.268331563560158	7.251853989760828	-0.1860800704447918	4.544395242864832	6.909991618051613	6.827334543138652	8.47982077625292	-0.6214945391896247	5.4123300425959515	8.121824443957516	5.523075368338641
