OTU	Jan_B08_0001	Jan_B08_0020	Jan_B08_0500	Jan_B08_1000	Jan_B16_0001	Jan_B16_0020	Jan_B16_0500	Jan_B16_1000	Mar_M02_0001	Mar_M02_0320	Mar_M02_1000	Mar_M03_0001	Mar_M03_0020	Mar_M04_0001	Mar_M04_0020	Mar_M05_0020	Mar_M05_0120	Mar_M06_0020	Aug_P05_0001	Aug_P05_0020	Aug_P05_0213	Aug_P06_0001	Aug_P06_0024	Aug_P06_0500	Aug_P06_1000	Aug_P07_0001	Aug_P07_0025	Aug_P07_0500	Aug_P07_1000	May_P01_0001	May_P01_0020	May_P01_0417	May_P03_0001	May_P03_0015	May_P03_0447	May_P04_0001	May_P04_0015	May_P04_0500	May_P04_1000	Nov_N02_0020	Nov_N03_0020	Nov_N03_0300	Nov_N04_0020	Nov_N04_1000
ASV_4_DG-I-Clade-1	7.836993099714036	7.940842441253778	7.7255247336234785	5.587861032697793	7.644766045562244	8.040794479947136	5.250055920485284	5.813917620041899	7.63209547906025	6.084132447036663	5.868528624555907	7.632932524656493	7.811510371780566	8.781579443312966	8.303878592858641	7.675838076312878	7.373130699199189	8.68294536300798	8.109433259365591	7.904215987938965	8.058138904598382	6.554253741083867	7.4553181417769405	7.491197295743042	7.389458163224659	7.1178117866816075	7.960949329891783	8.09618565777594	7.340928840025262	8.680727982348525	8.228649053253017	7.658903287127262	7.361105000461382	6.738961408567729	7.09299830744424	7.680649729918372	7.208706553825183	7.208119027443546	6.912243177863074	8.526309286198272	8.377930381658736	7.72053676191363	8.75785187622187	6.65553611859653
ASV_1_DG-I-Clade-1	5.075044143163231	5.301308435683826	6.005223115007919	3.607304805866777	7.996948150497823	8.339587169923478	-0.7022259073929646	-0.48029100110001544	6.519197074861494	-0.7715634475565398	-0.7421674201618522	7.220768979795196	7.361612598071455	5.4454721307714715	7.9483926942971515	7.630135464282284	5.41839810120309	-0.7636926664411181	7.93726922677416	7.050601641421521	9.508299689363895	9.483572579465744	7.584955812390176	7.859112034738506	7.726644858940495	9.10519382036804	6.019829895450137	8.401634653540341	7.0656249409099106	9.913347378128918	9.558126214881097	8.525484881380233	9.879885685270075	8.40253141586128	8.568145454876968	10.49174853419642	9.311756570626665	6.74112276816726	5.822267319587493	7.780885054008113	9.170368732794756	8.55417155873666	7.085359166644372	5.040128998549357
ASV_20_DG-III_X	6.688342579588802	6.6888693806328146	6.386464020800598	4.424000012881838	7.362748855127437	7.789529685016455	3.9758590735663493	5.090647617042055	7.40008056616079	5.152782358120605	4.053623125434889	7.605351559363652	7.709465383000408	6.097671526426239	7.474467290607032	7.049927848479527	6.85534384672579	7.121096277856113	7.860596455343558	6.62189146426404	7.133858102577222	7.483159605370044	6.836561868559826	6.157668330784269	5.906903153380917	7.662799109049355	8.391123444251182	6.095420005588595	5.2795765215242	6.351318631524789	6.636854863674695	5.981205713584084	7.453432705689806	7.431649462528362	5.482458527589178	7.058449684030239	7.964697997642833	6.048556344212448	5.1226431496737614	7.676837766315999	7.457356526771385	7.032564000614039	6.802813146451316	5.926506935733614
ASV_5_DG-I-Clade-1	6.740602568634467	6.608393668165507	6.0676892132282	3.1365183579370832	6.75269380633192	7.091098635582441	-0.7022259073929646	-0.48029100110001544	7.5169519512677585	5.054940088528843	-0.7421674201618522	7.14246788924266	7.377016619751069	9.192731843445447	7.253213368217143	7.49571621146579	7.546716558471203	6.523567214632883	8.735304362520244	7.463608421444075	7.213861451323652	7.456502467971572	7.4893368448011355	6.657218116729324	5.906903153380917	7.454121061676203	7.618087668976347	6.433811760408285	5.1698869987518155	9.36683443929786	8.921689382837718	9.24832155693311	7.7555906052861365	7.552225263499125	8.57607249332488	7.1454018047054095	6.991136437459031	8.603081349050099	7.164039864478821	7.138921646559143	7.513999064172935	7.747394082068043	6.448092537711733	3.2219238293482793
ASV_2_DG-I-Clade-1	5.065020525936507	5.3351388716536485	4.792558489760876	2.459373902130187	8.088611325844195	8.45471138750212	-0.7022259073929646	-0.48029100110001544	7.13251361331249	3.7075603859817017	2.7543401413046276	7.234369531493149	7.211127469356253	5.839716480600494	8.43364433767194	8.2293963275661	7.695876271346087	4.748073860580261	9.481346140645925	8.764381507382845	8.938983254362487	10.487669475542276	9.111078845925185	7.136162333550221	8.888040162256248	10.193427154406441	8.744724132698872	8.423854879953149	8.041809399023744	7.177158370362718	6.23191450112222	3.6776087884655713	6.230787910043447	5.0254978950460885	5.124626872588937	7.522491151245514	6.876821090024884	3.7750801232800733	3.0611591355479817	8.00166044030291	7.358485472056871	6.9068074547295675	6.513997462024524	6.382996605991045
ASV_3_DG-I-Clade-5	6.044178491259794	6.043766684946973	5.45109803729407	2.459373902130187	7.320082009421735	8.084681213063904	-0.7022259073929646	-0.48029100110001544	5.8330846310708555	2.985804945074017	-0.7421674201618522	6.077421954177864	6.598041524910614	7.594476553487919	6.9196121857751045	6.98445700856381	6.1893805491122125	5.625440975031494	-0.36070134761559913	3.3115355287401	4.876485592802577	3.8606681861085663	7.301863056940901	6.7051979777133	-0.4238924586585835	5.042354531732225	5.914626592949362	6.489640723544959	3.721086400034733	10.742529275570856	10.5725406683491	8.884430368525436	10.776743856329835	11.29731304966429	8.750809055189322	9.722487674440067	10.80659579853639	6.840999314183648	8.3021114399512	8.158780173074133	4.944167324011778	4.668382296677241	6.040201437177751	3.9031835603981886
ASV_24_DG-I-Clade-1	6.721563992153029	6.936239263170349	6.504668204230322	6.400111580083481	6.705469280802427	6.986401392851394	6.475254591879071	4.5966550373838135	7.456489997245451	8.130432927169732	5.881897807638041	7.346089081839181	7.442109681772012	8.196184517265701	7.824156686056849	7.663437651986543	8.0820850479899	7.617385856170705	-0.36070134761559913	4.548160365369579	5.211559601331981	-0.3136103526789942	4.608064475742778	7.0234888886106255	6.385797673367914	-0.3515025289235272	3.05062811837934	6.062674482862383	6.559730100315794	6.602301752535087	6.23191450112222	5.699529401170947	6.125605248474304	4.691060958557961	5.923369454115784	4.66763979755345	4.4876748613353135	5.588110442637548	5.845227612139396	6.406745832139493	6.313544376249915	-0.6205398842371643	5.800155564281359	7.892193072353651
ASV_18_DG-II-Clade-10-and-11	6.672318689152137	6.977849343642314	6.027532822387611	4.877108257546115	6.14362532446124	5.1909964756925335	2.855987880018091	-0.48029100110001544	6.283417654150992	5.725808991374847	-0.7421674201618522	6.581305935235499	5.595854774949605	3.381973885296609	5.658904580308638	5.134891379968691	6.183521662845954	7.445488007156718	5.979362054252308	6.648303379072985	6.789228275970625	4.948969978308687	4.672247202548599	5.964697039249946	-0.4238924586585835	5.042354531732225	6.784540574694513	5.993779697463538	5.6841484909223645	7.400171373069934	7.242513386765962	7.0841265208225686	6.7607567788163845	6.072003796210656	7.209317258527421	6.366013305496734	7.093714118534943	6.381053479878296	4.8563724588028805	6.5257159232296775	7.312924313964789	7.279935607084787	7.829493880695041	5.731356227472057
ASV_19_DG-I-Clade-1	5.2401549982713576	5.544469137258794	4.677856190374933	2.817281194849377	7.483277364492372	7.9011654059470215	1.7536285198729207	3.75764134620184	6.5627880520816415	4.414710525205568	1.822781937299684	6.796488166692231	7.029597363105599	5.001448210816821	7.492350685882869	7.440741433023611	6.941559196390437	4.954955632307097	8.397062921273237	7.37942132182969	6.976316510457908	7.674143350780808	6.81491379372203	5.320692891519742	6.285830316980509	7.719133924937289	7.435823348089819	6.787902449089174	6.709639692780301	5.792820195949803	5.253704853450456	4.441560590613949	5.030543414946034	4.184968320589602	-0.4775372736518424	5.914839908747332	5.462497378190048	2.148820944779212	-0.8340206888868469	7.829111877833821	5.188437076255615	5.0894972183590275	5.673031843503683	3.9031835603981886
ASV_16_DG-I-Clade-4	3.808857328719771	4.64405199601173	3.938414001186051	4.4825860968377755	3.1111596009012477	5.1909964756925335	2.9149352331881673	-0.48029100110001544	5.767795065703993	5.516089837554633	3.22812449339027	4.843549560832861	5.417507296515856	-0.6311726177392298	-0.4889634582744602	5.421852332564079	5.581204825543305	6.105385565836372	4.884271936212968	7.139503775290281	8.232129229067326	5.639522838330631	2.629489554761877	7.866472650146263	6.599159629118348	4.1328572888951065	5.550674923777382	8.282462898378903	6.2025489638394244	7.582405887989966	7.788815854238438	7.955635994374619	7.1853137438843655	6.601895284181963	8.867307958586705	8.110079100073609	6.781598780648408	7.216068471100358	5.626172988803271	6.1000065559803485	5.517814657079912	5.8148330003528645	6.031628465120935	5.672975784928348
