Jan_B08_0001	Jan_B08_0020	Jan_B08_0500	Jan_B08_1000	Jan_B16_0001	Jan_B16_0020	Jan_B16_0500	Jan_B16_1000	Mar_M02_0001	Mar_M02_0320	Mar_M02_1000	Mar_M03_0001	Mar_M03_0020	Mar_M04_0001	Mar_M04_0020	Mar_M05_0020	Mar_M05_0120	Mar_M06_0020	Aug_P05_0001	Aug_P05_0020	Aug_P05_0213	Aug_P06_0001	Aug_P06_0024	Aug_P06_0500	Aug_P06_1000	Aug_P07_0001	Aug_P07_0025	Aug_P07_0500	Aug_P07_1000	May_P01_0001	May_P01_0020	May_P01_0417	May_P03_0001	May_P03_0015	May_P03_0447	May_P04_0001	May_P04_0015	May_P04_0500	May_P04_1000	Nov_N02_0020	Nov_N03_0020	Nov_N03_0300	Nov_N04_0020	Nov_N04_1000
16	15	40	46	42	0	0	14	11	0	22	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	19	18	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	175
0	0	0	0	0	0	11	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	88	0	0	24	0	0	77	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	17	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	40	164	0	0	125	0	0	33	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	11	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
80	39	112	520	881	385	99	0	1874	180	34	208	430	1055	361	611	31	15	36	87	24	0	65	241	4	0	99	14	71	90	442	502	65	209	2105	185	0	358	166	209	119	76	0	0
0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	21	25	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
50	31	21	0	194	82	0	0	165	0	0	1007	600	621	18	71	95	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	11	67	18	0	0
0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	46	87	9	278	391	0	0	81	0	0	87	174	18	45	102	25	24	0	6	0	6	157	55	0	0	20	18	28	18	227	48	764	1330	108	269	171	74	115	43	16	33	11	0
20	14	3	0	42	45	0	0	57	0	0	49	109	680	12	76	16	3	0	7	0	0	45	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	6	0	0	0	8	0	0	13	32	6	0	10	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	18	24	0	0	0	0	0	12	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	35	153	30	48	0	0	28	0	0	9	45	192	18	13	0	278	0	0	8	0	15	0	0	0	0	10	0	0	0	321	0	9	231	0	0	1054	173	0	19	41	0	0
528	477	1911	257	480	938	89	0	381	82	0	177	439	3707	74	123	39	376	0	0	0	0	94	23	0	15	0	0	0	0	7	451	0	31	824	0	0	705	220	21	35	306	41	0
