asv_code	kingdom	supergroup	division	divisionlong	class	family	order	genus	species	asv_id
000dbfb930d5170cfbc9057999c0bc0698e32314	Eukaryota	Alveolata	Dinoflagellata	Dinoflagellata_Syndiniales	Syndiniales	Dino-Group-II-Clade-5	Dino-Group-II	Dino-Group-II-Clade-5_X	Dino-Group-II-Clade-5_X_sp.	ASV_657_DG-II-Clade-5
00177a2398da0ad5255b39dfd47d4746740ae883	Eukaryota	Alveolata	Dinoflagellata	Dinoflagellata_Syndiniales	Syndiniales	Dino-Group-II-Clade-5	Dino-Group-II	Dino-Group-II-Clade-5_X	Dino-Group-II-Clade-5_X_sp.	ASV_1637_DG-II-Clade-5
0041460b5f2cbd457159b83b7b2634da67944ccc	Eukaryota	Alveolata	Dinoflagellata	Dinoflagellata_Syndiniales	Syndiniales	Dino-Group-I-Clade-2	Dino-Group-I	Dino-Group-I-Clade-2_X	Dino-Group-I-Clade-2_X_sp.	ASV_960_DG-I-Clade-2
00546bb7cf87df709f4cd18eaf1bddc661b4c0ca	Eukaryota	Alveolata	Dinoflagellata	Dinoflagellata_Syndiniales	Syndiniales	Dino-Group-II-Clade-1	Dino-Group-II	Dino-Group-II-Clade-1_X	Dino-Group-II-Clade-1_X_sp.	ASV_1932_DG-II-Clade-1
00575242c20b4374a1b8872c2e063abef6d7452c	Eukaryota	Alveolata	Dinoflagellata	Dinoflagellata_Syndiniales	Syndiniales	Dino-Group-II-Clade-44	Dino-Group-II	Dino-Group-II-Clade-44_X	Dino-Group-II-Clade-44_X_sp.	ASV_2047_DG-II-Clade-44
006ecb9c1aabd7efcc86e48d0b1041251eeb0867	Eukaryota	Alveolata	Dinoflagellata	Dinoflagellata_Syndiniales	Syndiniales	Dino-Group-II-Clade-9	Dino-Group-II	Dino-Group-II-Clade-9_X	Dino-Group-II-Clade-9_X_sp.	ASV_1327_DG-II-Clade-9
007815bb11c64c352de4123a4aaed85a8e8c98e2	Eukaryota	Alveolata	Dinoflagellata	Dinoflagellata_Syndiniales	Syndiniales	Dino-Group-II-Clade-10-and-11	Dino-Group-II	Dino-Group-II-Clade-10-and-11_X	Dino-Group-II-Clade-10-and-11_X_sp.	ASV_1224_DG-II-Clade-10-and-11
009cb44eae8835cafbc58f7c7a6f67578ff48720	Eukaryota	Alveolata	Dinoflagellata	Dinoflagellata_Syndiniales	Syndiniales	Dino-Group-IV-Hematodinium-Group	Dino-Group-IV	Hematodinium	Hematodinium_sp.	ASV_1478_DG-IV-Hematodinium-Group
00ca4640287e54ff12f9248b5251dbae67a01526	Eukaryota	Alveolata	Dinoflagellata	Dinoflagellata_Syndiniales	Syndiniales	Dino-Group-II-Clade-1	Dino-Group-II	Dino-Group-II-Clade-1_X	Dino-Group-II-Clade-1_X_sp.	ASV_1057_DG-II-Clade-1
0129a821efddf6f7add9cc57378ffd11fe35989c	Eukaryota	Alveolata	Dinoflagellata	Dinoflagellata_Syndiniales	Syndiniales	Dino-Group-II-Clade-7	Dino-Group-II	Dino-Group-II-Clade-7_X	Dino-Group-II-Clade-7_X_sp.	ASV_663_DG-II-Clade-7
